Model,Value
CLASS-CTEM-N_SG3, 0.004329694 
CLM4_SG3, 0.002735022 
CLM4VIC_SG3, 0.004119726 
DLEM_SG3, 0.01043268 
GTEC_SG3, 0.0104706 
LPJ-wsl_SG3, 0.007228001 
ORCHIDEE-LSCE_SG3, 0.004716487 
SiB3_SG3, 0.002682771
SiBCASA_SG3, 0.003083214 
TEM6_SG3, 0.008814384 
VEGAS2.1_SG3, 0.005711344 
VISIT_SG3, 0.01050883 
