Model,IAVAR_GPP,IAVAR_NBP
BIOME-BGC,4.37248,0.570001
CLASS-CTEM-N,0.719682,0.291997
CLM4,1.3543,0.286184
CLM4VIC,1.43636,0.450218
DLEM,1.43163,1.14207
GTEC,0.940895,1.77715
LPJ-wsl,2.64265,1.41418
ORCHIDEE-LSCE,1.59001,0.675097
SiB3,0.607071,0.338945
SiBCASE,0.802522,0.234991
TEM6,0.641229,0.703048
VEGAS2.1,1.42293,0.560095
VISIT,2.45195,1.01664
