 year    value
 1982 115.6547
 1983 113.9143
 1984 116.6861
 1985 119.0816
 1986 120.0855
 1987 117.6875
 1988 119.4738
 1989 123.1223
 1990 124.3398
 1991 121.1095
 1992 120.9956
 1993 122.4791
 1994 123.1968
 1995 124.1439
 1996 124.4385
 1997 125.9116
 1998 125.5155
 1999 125.9001
 2000 126.8734
 2001 127.4155
 2002 125.4242
 2003 126.0529
 2004 127.4445
 2005 126.7048
 2006  127.831
 2007 129.2768
 2008 129.1299
 2009  128.474
 2010 129.0357
 2011 131.9082
