Model,Value
CLASS-CTEM-N_SG3, 0.01616389 
CLM4_SG3, 0.01266215 
CLM4VIC_SG3, 0.01501477 
DLEM_SG3, 0.01675201 
GTEC_SG3, 0.007232818 
LPJ-wsl_SG3, 0.02341393 
ORCHIDEE-LSCE_SG3, 0.01585454 
SiB3_SG3, 0.005203365 
SiBCASA_SG3, 0.01029693 
TEM6_SG3, 0.01239979 
VEGAS2.1_SG3, 0.01524277 
VISIT_SG3, 0.02647771 
