Model,IAVAR_GPP,IAVAR_NBP
CLASS-CTEM-N,1.49566,0.40063
CLM4,1.67462,0.361717
CLM4VIC,1.55386,0.426345
DLEM,1.62988,1.01504
GTEC,1.28363,1.85825
LPJ-wsl,3.13801,0.968719
ORCHIDEE-LSCE,1.73582,0.51638
SiB3,0.814683,0.420037
SiBCASE,1.57674,0.472124
TEM6,1.059,0.752789
VEGAS2.1,1.78036,0.667087
VISIT,3.05861,1.21394
